seq,host_read_s,valid,theta_down_rad,theta_upright_rad,omega_rad_s,pivot_px,tip_px,processing_ms
1,759648.122583666,False,,,,,,0.004458008334040642
2,759648.220266208,False,,,,,,0.031041912734508514
3,759648.246268291,False,,,,,,0.016333069652318954
4,759648.279194208,False,,,,,,0.021125073544681072
5,759648.312236541,False,,,,,,0.01383305061608553
6,759648.345523875,False,,,,,,0.026333029381930828
7,759648.378686541,False,,,,,,0.008167000487446785
8,759648.411875208,False,,,,,,0.017916900105774403
9,759648.445768,False,,,,,,0.011457945220172405
10,759648.479202625,False,,,,,,0.008375034667551517
11,759648.512150041,False,,,,,,0.010750023648142815
12,759648.545484875,False,,,,,,0.009875046089291573
13,759648.57881525,False,,,,,,0.013208016753196716
14,759648.612362625,False,,,,,,0.00925001222640276
15,759648.645469666,False,,,,,,0.012292061001062393
16,759648.678501083,False,,,,,,0.011833966709673405
17,759648.711583833,False,,,,,,0.020959065295755863
18,759648.744992791,False,,,,,,0.011541997082531452
19,759648.778841583,False,,,,,,0.006499933078885078
20,759648.811941375,False,,,,,,0.008333008736371994
21,759648.8453155,False,,,,,,0.009625102393329144
22,759648.878482,False,,,,,,0.011457945220172405
23,759648.911750291,False,,,,,,0.011041061952710152
24,759648.945280666,False,,,,,,0.008082948625087738
25,759648.978327375,False,,,,,,0.014042016118764877
26,759649.0121,False,,,,,,0.007166992872953415
27,759649.045825791,False,,,,,,0.006541027687489986
28,759649.079727833,False,,,,,,0.021542073227465153
29,759649.112886291,False,,,,,,0.006667105481028557
30,759649.146269458,False,,,,,,0.007999944500625134
31,759649.179310041,False,,,,,,0.010040937922894955
32,759649.21261375,False,,,,,,0.006958958692848682
33,759649.246078166,False,,,,,,0.011208001524209976
34,759649.279252541,False,,,,,,0.006041955202817917
35,759649.312660583,False,,,,,,0.0076249707490205765
36,759649.345999916,False,,,,,,0.013916054740548134
37,759649.379424833,False,,,,,,0.007041962817311287
38,759649.413121166,False,,,,,,0.006666057743132114
39,759649.4457565,False,,,,,,0.01129100564867258
40,759649.478752625,False,,,,,,0.006041955202817917
41,759649.51210175,False,,,,,,0.009834067896008492
42,759649.544410083,False,,,,,,0.005749985575675964
43,759649.577766333,False,,,,,,0.008707982487976551
44,759649.611834375,False,,,,,,0.0074160052463412285
45,759649.645376333,False,,,,,,0.005415990017354488
46,759649.678867916,False,,,,,,0.007833936251699924
47,759649.711809583,False,,,,,,0.006416928954422474
48,759649.745455583,False,,,,,,0.006249989382922649
