758277309029583 E 3679079489 END host_stop 0 0 0
758277309174333 E 3689129693 ARMED
758277310428708 D 0,3689130339,0,2459,2459,3.7720590,0.00000,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277311161166 D 1,3689131339,1000,2458,2458,3.7705250,-0.06015,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277312358583 D 2,3689132339,1000,2458,2458,3.7705250,-0.05779,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277313442708 D 3,3689133339,1000,2458,2458,3.7705250,-0.05552,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277314353375 D 4,3689134339,1000,2458,2458,3.7705250,-0.05335,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277315326750 D 5,3689135339,1000,2458,2458,3.7705250,-0.05125,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277316445958 D 6,3689136339,1000,2458,2458,3.7705250,-0.04925,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277317390583 D 7,3689137339,1000,2457,2457,3.7689910,-0.10746,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277318391250 D 8,3689138339,1000,2458,2458,3.7705250,-0.04310,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277319400375 D 9,3689139339,1000,2458,2458,3.7705250,-0.04141,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277320448166 D 10,3689140339,1000,2458,2458,3.7705250,-0.03979,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277321464375 D 11,3689141339,1000,2457,2457,3.7689910,-0.09838,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277322323541 D 12,3689142339,1000,2457,2457,3.7689910,-0.09452,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277323376875 D 13,3689143339,1000,2457,2457,3.7689910,-0.09081,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277324259750 D 14,3689144339,1000,2457,2457,3.7689910,-0.08725,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277325289500 D 15,3689145339,1000,2457,2457,3.7689910,-0.08383,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277326269125 D 16,3689146339,1000,2457,2457,3.7689910,-0.08054,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277327430416 D 17,3689147339,1000,2457,2457,3.7689910,-0.07738,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277328455291 D 18,3689148339,1000,2457,2457,3.7689910,-0.07435,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277329464166 D 19,3689149339,1000,2457,2457,3.7689910,-0.07143,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277330367250 D 20,3689150339,1000,2457,2457,3.7689910,-0.06863,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277331337291 D 21,3689151339,1000,2457,2457,3.7689910,-0.06594,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277332577625 D 22,3689152339,1000,2457,2457,3.7689910,-0.06336,39,116,2119,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277333227333 D 23,3689153339,1000,2457,2457,3.7689910,-0.06087,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277334239708 D 24,3689154339,1000,2457,2457,3.7689910,-0.05849,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277335385208 D 25,3689155339,1000,2457,2457,3.7689910,-0.05619,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277336676666 D 26,3689156339,1000,2457,2457,3.7689910,-0.05399,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277337216875 D 27,3689157339,1000,2457,2457,3.7689910,-0.05187,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277338272750 D 28,3689158339,1000,2457,2457,3.7689910,-0.04984,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277339234291 D 29,3689159339,1000,2457,2457,3.7689910,-0.04788,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277340255583 D 30,3689160339,1000,2457,2457,3.7689910,-0.04601,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277341257708 D 31,3689161339,1000,2457,2457,3.7689910,-0.04420,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277342272666 D 32,3689162339,1000,2457,2457,3.7689910,-0.04247,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277343200375 D 33,3689163339,1000,2457,2457,3.7689910,-0.04080,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277344244000 D 34,3689164339,1000,2457,2457,3.7689910,-0.03920,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277345237875 D 35,3689165339,1000,2457,2457,3.7689910,-0.03767,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277346238458 D 36,3689166339,1000,2457,2457,3.7689910,-0.03619,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277347227125 D 37,3689167339,1000,2457,2457,3.7689910,-0.03477,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277348181041 D 38,3689168339,1000,2457,2457,3.7689910,-0.03341,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277349264125 D 39,3689169339,1000,2457,2457,3.7689910,-0.03210,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277350242541 D 40,3689170339,1000,2457,2457,3.7689910,-0.03084,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277351242416 D 41,3689171339,1000,2457,2457,3.7689910,-0.02963,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277352436625 D 42,3689172339,1000,2457,2457,3.7689910,-0.02847,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277353328833 D 43,3689173339,1000,2457,2457,3.7689910,-0.02735,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277354253875 D 44,3689174339,1000,2457,2457,3.7689910,-0.02628,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277355238500 D 45,3689175339,1000,2457,2457,3.7689910,-0.02525,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277356220708 D 46,3689176339,1000,2457,2457,3.7689910,-0.02426,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277357268833 D 47,3689177339,1000,2457,2457,3.7689910,-0.02331,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277358262666 D 48,3689178339,1000,2457,2457,3.7689910,-0.02239,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
758277359231250 D 49,3689179339,1000,2457,2457,3.7689910,-0.02152,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
