755227987846291 I steps_per_m=26666.66601562 cart_step=2 cart_dir=3 enable=8 limits_connected=0 filter_write_ok=1
755227988368375 I home=0 enabled=0 travel_mm=300.000 vmax_mm_s=30.000 amax_mm_s2=300.000 jerk_mm_s3=3000.000
755227988479208 E 636946672 INFO
755227988609541 E 639816411 STREAM
755227989238958 D 0,639817339,0,1543,1543,2.3669324,0.00000,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755227990097041 D 1,639818339,1000,1544,1544,2.3684664,0.06015,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755227991095083 D 2,639819339,1000,1543,1543,2.3669324,-0.00236,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755227992009166 D 3,639820339,1000,1543,1543,2.3669324,-0.00227,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755227992985541 D 4,639821339,1000,1543,1543,2.3669324,-0.00218,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755227993913083 D 5,639822339,1000,1544,1544,2.3684664,0.05806,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755227994893250 D 6,639823339,1000,1544,1544,2.3684664,0.05578,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755227996005208 D 7,639824339,1000,1543,1543,2.3669324,-0.00656,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755227996971291 D 8,639825339,1000,1544,1544,2.3684664,0.05385,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755227997985791 D 9,639826339,1000,1543,1543,2.3669324,-0.00841,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755227998979833 D 10,639827339,1000,1543,1543,2.3669324,-0.00808,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755227999884166 D 11,639828339,1000,1543,1543,2.3669324,-0.00776,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755228000825791 D 12,639829339,1000,1543,1543,2.3669324,-0.00746,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755228001816750 D 13,639830339,1000,1543,1543,2.3669324,-0.00717,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755228002820500 D 14,639831339,1000,1544,1544,2.3684664,0.05326,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755228003805458 D 15,639832339,1000,1544,1544,2.3684664,0.05117,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755228004812875 D 16,639833339,1000,1543,1543,2.3669324,-0.01098,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755228005759250 D 17,639834339,1000,1543,1543,2.3669324,-0.01055,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755228006762666 D 18,639835339,1000,1544,1544,2.3684664,0.05001,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755228007760666 D 19,639836339,1000,1543,1543,2.3669324,-0.01210,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755228008794625 D 20,639837339,1000,1544,1544,2.3684664,0.04853,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755228009743166 D 21,639838339,1000,1544,1544,2.3684664,0.04662,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755228010792833 D 22,639839339,1000,1543,1543,2.3669324,-0.01535,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755228011900708 D 23,639840339,1000,1543,1543,2.3669324,-0.01475,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755228012811083 D 24,639841339,1000,1543,1543,2.3669324,-0.01417,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755228013821166 D 25,639842339,1000,1544,1544,2.3684664,0.04653,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755228014830291 D 26,639843339,1000,1543,1543,2.3669324,-0.01544,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755228015868250 D 27,639844339,1000,1543,1543,2.3669324,-0.01484,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755228016809000 D 28,639845339,1000,1544,1544,2.3684664,0.04589,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755228017844250 D 29,639846339,1000,1543,1543,2.3669324,-0.01605,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755228018822750 D 30,639847339,1000,1543,1543,2.3669324,-0.01542,-1,-1,-1,0,0,0,135,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755228019853208 D 31,639848339,1000,1543,1543,2.3669324,-0.01482,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755228020824083 D 32,639849339,1000,1543,1543,2.3669324,-0.01424,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755228021832333 D 33,639850339,1000,1544,1544,2.3684664,0.04647,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755228022808333 D 34,639851339,1000,1543,1543,2.3669324,-0.01550,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755228024238625 D 35,639852339,1000,1543,1543,2.3669324,-0.01489,39,124,2075,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755228024844125 D 36,639853339,1000,1543,1543,2.3669324,-0.01431,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755228025904916 D 37,639854339,1000,1543,1543,2.3669324,-0.01375,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755228026851625 D 38,639855339,1000,1543,1543,2.3669324,-0.01321,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
755228027626583 D 39,639856339,1000,1544,1544,2.3684664,0.04746,-1,-1,-1,0,0,0,136,1,1,0,0.0000000,0.0000000,0.0000000,0,0,0,0
