seq,t_us,dt_us,raw,ticks,theta,omega,agc,status,i2c_errors
0.0,21381036.0,2000.0,1409.0,3.0,0.0046019,0.20531,100.0,103.0,0.0
1.0,21383043.0,2007.0,1411.0,5.0,0.0076699,0.36411,-1.0,-1.0,0.0
2.0,21385048.0,2005.0,1412.0,6.0,0.0092039,0.41223,-1.0,-1.0,0.0
3.0,21387048.0,2000.0,1413.0,7.0,0.0107379,0.4548,-1.0,-1.0,0.0
4.0,21389053.0,2005.0,1414.0,8.0,0.0122718,0.49203,-1.0,-1.0,0.0
5.0,21391053.0,2000.0,1414.0,8.0,0.0122718,0.43299,-1.0,-1.0,0.0
6.0,21393053.0,2000.0,1415.0,9.0,0.0138058,0.47307,-1.0,-1.0,0.0
7.0,21395061.0,2008.0,1416.0,10.0,0.0153398,0.50797,-1.0,-1.0,0.0
8.0,21397062.0,2001.0,1418.0,12.0,0.0184078,0.631,-1.0,-1.0,0.0
9.0,21399065.0,2003.0,1423.0,17.0,0.0260777,1.01479,-1.0,-1.0,0.0
10.0,21401065.0,2000.0,1429.0,23.0,0.0352816,1.44524,-1.0,-1.0,0.0
11.0,21403068.0,2003.0,1432.0,26.0,0.0398835,1.54752,-1.0,-1.0,0.0
12.0,21405068.0,2000.0,1435.0,29.0,0.0444854,1.63793,-1.0,-1.0,0.0
13.0,21407072.0,2004.0,1439.0,33.0,0.0506214,1.8088,-1.0,-1.0,0.0
14.0,21409073.0,2001.0,1442.0,36.0,0.0552233,1.86772,-1.0,-1.0,0.0
15.0,21411076.0,2003.0,1444.0,38.0,0.0582913,1.8274,-1.0,-1.0,0.0
16.0,21413076.0,2000.0,1447.0,41.0,0.0628932,1.88423,-1.0,-1.0,0.0
17.0,21415080.0,2004.0,1449.0,43.0,0.0659612,1.84183,-1.0,-1.0,0.0
18.0,21417083.0,2003.0,1451.0,45.0,0.0690291,1.80461,-1.0,-1.0,0.0
19.0,21419087.0,2004.0,1454.0,48.0,0.0736311,1.86362,-1.0,-1.0,0.0
20.0,21421091.0,2004.0,1456.0,50.0,0.076699,1.8237,-1.0,-1.0,0.0
21.0,21423092.0,2001.0,1458.0,52.0,0.079767,1.78884,-1.0,-1.0,0.0
22.0,21425099.0,2007.0,1462.0,56.0,0.0859029,1.94105,-1.0,-1.0,0.0
23.0,21427102.0,2003.0,1467.0,61.0,0.0935728,2.16763,-1.0,-1.0,0.0
24.0,21429106.0,2004.0,1471.0,65.0,0.0997088,2.27494,-1.0,-1.0,0.0
25.0,21431110.0,2004.0,1478.0,72.0,0.1104466,2.64493,86.0,103.0,0.0
26.0,21433113.0,2003.0,1485.0,79.0,0.1211845,2.97084,-1.0,-1.0,0.0
27.0,21435117.0,2004.0,1493.0,87.0,0.1334563,3.34918,-1.0,-1.0,0.0
28.0,21437122.0,2005.0,1501.0,95.0,0.1457282,3.68176,-1.0,-1.0,0.0
29.0,21439128.0,2006.0,1504.0,98.0,0.1503301,3.51524,-1.0,-1.0,0.0
30.0,21441128.0,2000.0,1506.0,100.0,0.1533981,3.27749,-1.0,-1.0,0.0
31.0,21443132.0,2004.0,1505.0,99.0,0.1518641,2.79233,-1.0,-1.0,0.0
32.0,21445135.0,2003.0,1505.0,99.0,0.1518641,2.45725,-1.0,-1.0,0.0
