t_ms,mode,theta,theta_dot,x,v,accel,energy,z1,z2,agc,loop_us
7109.0,0.0,-3.1401,-0.009,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,446.0
7119.0,0.0,-3.1401,0.017,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,441.0
7129.0,0.0,-3.1401,0.007,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,453.0
7139.0,0.0,-3.1401,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,446.0
7149.0,0.0,-3.1401,0.007,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,446.0
7160.0,0.0,-3.1401,0.008,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,446.0
7170.0,0.0,-3.1401,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,452.0
7180.0,0.0,-3.1401,0.005,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,441.0
7190.0,0.0,-3.1401,0.002,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,447.0
7200.0,0.0,-3.1401,0.001,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,446.0
7210.0,0.0,-3.1401,-0.009,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,439.0
7220.0,0.0,-3.1401,0.004,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,451.0
7230.0,0.0,-3.1401,-0.001,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,452.0
7241.0,0.0,-3.1401,0.005,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,446.0
7251.0,0.0,-3.1401,0.003,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,446.0
7261.0,0.0,-3.1401,0.001,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,453.0
7271.0,0.0,-3.1401,0.003,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,441.0
7281.0,0.0,-3.1401,-0.002,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,447.0
7291.0,0.0,-3.1401,-0.011,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,446.0
7301.0,0.0,-3.1401,-0.006,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,446.0
7311.0,0.0,-3.1401,0.004,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,453.0
7321.0,0.0,3.1416,-0.013,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,451.0
7332.0,0.0,-3.1401,0.009,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,439.0
7342.0,0.0,-3.1401,-0.011,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,454.0
7352.0,0.0,3.1416,-0.022,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,452.0
7362.0,0.0,3.1416,-0.01,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,452.0
7372.0,0.0,-3.1401,0.015,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,453.0
7383.0,0.0,-3.1401,0.009,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,446.0
7393.0,0.0,-3.1401,0.004,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,451.0
7403.0,0.0,3.1416,-0.023,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,452.0
7425.0,0.0,3.1416,-0.018,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,503.0
7435.0,0.0,-3.1401,0.006,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,439.0
7445.0,0.0,-3.1401,0.004,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,439.0
7455.0,0.0,-3.1401,-0.007,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,452.0
7465.0,0.0,-3.1401,0.006,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,446.0
7475.0,0.0,-3.1401,0.008,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,453.0
7485.0,0.0,-3.1401,0.009,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,447.0
7495.0,0.0,-3.1401,0.004,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,453.0
7505.0,0.0,-3.1401,0.002,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,452.0
7516.0,0.0,3.1416,-0.037,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,446.0
7526.0,0.0,-3.1401,-0.012,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,445.0
7536.0,0.0,-3.1401,-0.0,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,441.0
7546.0,0.0,-3.1401,0.01,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,453.0
7556.0,0.0,-3.1401,0.008,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,454.0
7566.0,0.0,-3.1401,-0.008,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,453.0
7577.0,0.0,-3.1401,0.008,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,446.0
7587.0,0.0,-3.1401,0.005,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,453.0
7597.0,0.0,-3.1401,0.005,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,453.0
7607.0,0.0,-3.1401,0.007,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,441.0
7618.0,0.0,-3.1401,0.007,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,446.0
7628.0,0.0,-3.1401,-0.0,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,446.0
7638.0,0.0,-3.1401,-0.002,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,453.0
7648.0,0.0,-3.1401,-0.004,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,441.0
7658.0,0.0,-3.1401,-0.001,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,451.0
7668.0,0.0,-3.1401,0.002,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,452.0
7678.0,0.0,-3.1401,-0.019,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,446.0
7688.0,0.0,-3.1401,0.011,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,452.0
7699.0,0.0,-3.1401,0.007,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,445.0
7709.0,0.0,-3.1401,0.003,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,446.0
7719.0,0.0,-3.1401,-0.0,0.0,0.0,0.0,-1.0,0.0,0.0,102.0,454.0
