t_ms,mode,theta,theta_dot,x,v,accel,energy,z1,z2,agc,loop_us
7793.0,0.0,3.1416,0.012,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,346.0
7803.0,0.0,3.1416,-0.003,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,345.0
7813.0,0.0,3.1416,-0.002,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,343.0
7824.0,0.0,3.1401,0.002,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,343.0
7834.0,0.0,3.1416,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,343.0
7844.0,0.0,3.1416,0.013,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,346.0
7854.0,0.0,3.1401,-0.013,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,345.0
7864.0,0.0,3.1401,-0.03,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,343.0
7875.0,0.0,3.1416,0.019,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,343.0
7885.0,0.0,3.1416,0.021,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,338.0
7895.0,0.0,3.1401,-0.031,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,336.0
7905.0,0.0,3.1416,0.011,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,344.0
7915.0,0.0,3.1416,0.021,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,343.0
7926.0,0.0,3.1416,0.007,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,338.0
7936.0,0.0,3.1416,0.003,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,343.0
7946.0,0.0,3.1416,-0.002,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,338.0
7956.0,0.0,3.1416,-0.002,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,346.0
7966.0,0.0,3.1416,0.009,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,337.0
7976.0,0.0,3.1416,-0.004,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,338.0
7986.0,0.0,3.1401,-0.038,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,348.0
7997.0,0.0,3.1416,-0.003,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,346.0
8007.0,0.0,3.1401,-0.004,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,346.0
8017.0,0.0,3.1416,-0.0,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,345.0
8027.0,0.0,3.1416,0.01,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,336.0
8037.0,0.0,3.1416,0.009,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,345.0
8048.0,0.0,3.1416,-0.023,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,346.0
8058.0,0.0,3.1416,-0.023,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,336.0
8068.0,0.0,3.1416,0.015,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,343.0
8078.0,0.0,3.1401,-0.004,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,338.0
8088.0,0.0,3.1416,-0.001,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,347.0
8098.0,0.0,3.1416,-0.001,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,346.0
8108.0,0.0,3.1416,0.002,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,386.0
8119.0,0.0,3.1416,-0.009,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,345.0
8129.0,0.0,3.1416,0.005,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,343.0
8139.0,0.0,3.1416,0.011,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,346.0
8149.0,0.0,3.1416,0.005,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,346.0
8159.0,0.0,3.1416,-0.004,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,346.0
8169.0,0.0,3.1416,0.004,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,346.0
8180.0,0.0,3.1416,0.009,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,338.0
8190.0,0.0,3.1401,-0.033,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,346.0
8200.0,0.0,3.1416,0.031,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,344.0
8210.0,0.0,3.1401,-0.001,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,344.0
8221.0,0.0,3.1416,0.013,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,343.0
8231.0,0.0,3.1416,-0.003,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,343.0
8241.0,0.0,3.1416,0.009,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,346.0
8251.0,0.0,3.1416,0.012,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,337.0
8261.0,0.0,3.1416,-0.017,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,346.0
8271.0,0.0,3.1416,-0.009,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,346.0
8282.0,0.0,3.1401,-0.017,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,338.0
8292.0,0.0,3.1416,0.014,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,346.0
8302.0,0.0,3.1416,0.004,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,344.0
8312.0,0.0,3.1416,0.001,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,343.0
8323.0,0.0,3.1416,0.002,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,343.0
8333.0,0.0,3.1416,0.016,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,348.0
8343.0,0.0,3.1416,-0.007,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,337.0
8353.0,0.0,3.1416,0.009,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,346.0
8363.0,0.0,3.1416,0.015,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,345.0
8373.0,0.0,3.1401,-0.012,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,346.0
8383.0,0.0,3.1401,-0.012,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,347.0
8394.0,0.0,3.1401,-0.021,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,338.0
8404.0,0.0,3.1416,0.021,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,338.0
8414.0,0.0,3.1416,0.005,0.0,0.0,0.0,-1.0,0.0,0.0,103.0,337.0
