t_ms,mode,theta,theta_dot,x,v,accel,energy,z1,z2,agc,loop_us
1603.0,0.0,-3.1401,0.047,0.0,0.0,0.0,-1.0,0.0,0.0,93.0,506.0
1613.0,0.0,3.1416,0.029,0.0,0.0,0.0,-1.0,0.0,0.0,93.0,472.0
1623.0,0.0,3.1416,-0.006,0.0,0.0,0.0,-1.0,0.0,0.0,93.0,474.0
1633.0,0.0,3.1416,-0.024,0.0,0.0,0.0,-1.0,0.0,0.0,93.0,474.0
1643.0,0.0,3.1416,0.001,0.0,0.0,0.0,-1.0,0.0,0.0,93.0,473.0
1654.0,0.0,3.1416,-0.012,0.0,0.0,0.0,-1.0,0.0,0.0,93.0,481.0
1664.0,0.0,3.1416,-0.004,0.0,0.0,0.0,-1.0,0.0,0.0,93.0,475.0
1674.0,0.0,3.1416,-0.022,0.0,0.0,0.0,-1.0,0.0,0.0,93.0,483.0
1684.0,0.0,3.1416,-0.018,0.0,0.0,0.0,-1.0,0.0,0.0,93.0,473.0
1694.0,0.0,3.1416,-0.016,0.0,0.0,0.0,-1.0,0.0,0.0,93.0,474.0
1704.0,0.0,3.1416,-0.019,0.0,0.0,0.0,-1.0,0.0,0.0,93.0,473.0
1715.0,0.0,3.1416,-0.001,0.0,0.0,0.0,-1.0,0.0,0.0,93.0,472.0
1725.0,0.0,3.1416,0.001,0.0,0.0,0.0,-1.0,0.0,0.0,93.0,474.0
1735.0,0.0,3.1416,0.001,0.0,0.0,0.0,-1.0,0.0,0.0,93.0,473.0
1745.0,0.0,3.1416,0.001,0.0,0.0,0.0,-1.0,0.0,0.0,93.0,473.0
1755.0,0.0,3.1416,0.003,0.0,0.0,0.0,-1.0,0.0,0.0,93.0,473.0
1766.0,0.0,3.1416,-0.019,0.0,0.0,0.0,-1.0,0.0,0.0,93.0,473.0
1776.0,0.0,3.1416,0.005,0.0,0.0,0.0,-1.0,0.0,0.0,93.0,474.0
1786.0,0.0,3.1416,0.014,0.0,0.0,0.0,-1.0,0.0,0.0,93.0,473.0
1796.0,0.0,3.1401,-0.045,0.0,0.0,0.0,-1.0,0.0,0.0,93.0,474.0
1806.0,0.0,3.1416,0.019,0.0,0.0,0.0,-1.0,0.0,0.0,93.0,474.0
1816.0,0.0,3.1416,0.026,0.0,0.0,0.0,-1.0,0.0,0.0,93.0,473.0
1827.0,0.0,3.1401,-0.014,0.0,0.0,0.0,-1.0,0.0,0.0,93.0,472.0
1837.0,0.0,3.1416,0.017,0.0,0.0,0.0,-1.0,0.0,0.0,93.0,472.0
1847.0,0.0,3.1416,0.018,0.0,0.0,0.0,-1.0,0.0,0.0,93.0,472.0
1857.0,0.0,3.1416,0.005,0.0,0.0,0.0,-1.0,0.0,0.0,93.0,474.0
1867.0,0.0,-3.1401,0.021,0.0,0.0,0.0,-1.0,0.0,0.0,93.0,474.0
1877.0,0.0,-3.1401,0.027,0.0,0.0,0.0,-1.0,0.0,0.0,93.0,473.0
1887.0,0.0,3.1416,-0.016,0.0,0.0,0.0,-1.0,0.0,0.0,93.0,473.0
