t_ms,mode,theta,theta_dot,x,v,accel,energy,z1,z2,agc,loop_us
283785.0,0.0,-3.1401,-0.002,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,537.0
283795.0,0.0,-3.1385,0.007,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,549.0
283805.0,0.0,-3.1401,0.005,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,568.0
283816.0,0.0,-3.1401,0.0,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,563.0
283826.0,0.0,-3.1401,0.002,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,571.0
283836.0,0.0,-3.1401,-0.003,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,571.0
283846.0,0.0,-3.1401,-0.003,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,543.0
283856.0,0.0,-3.1401,0.003,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,569.0
283867.0,0.0,-3.1401,0.007,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,549.0
283877.0,0.0,-3.1401,-0.001,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,569.0
283887.0,0.0,-3.1401,-0.001,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,537.0
283897.0,0.0,-3.1401,-0.003,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,571.0
283907.0,0.0,-3.1401,0.001,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,563.0
283918.0,0.0,-3.1401,-0.002,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,544.0
283928.0,0.0,-3.1401,-0.002,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,569.0
283938.0,0.0,-3.1401,0.0,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,537.0
283948.0,0.0,-3.1401,-0.0,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,544.0
283958.0,0.0,-3.1401,0.001,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,563.0
283969.0,0.0,-3.1401,-0.002,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,544.0
283979.0,0.0,-3.1401,-0.002,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,537.0
283989.0,0.0,-3.1401,-0.002,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,543.0
284000.0,0.0,-3.1401,0.011,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,542.0
284010.0,0.0,-3.1401,-0.001,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,537.0
284020.0,0.0,-3.1401,-0.004,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,544.0
284031.0,0.0,-3.1401,-0.0,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,544.0
284041.0,0.0,-3.1401,0.001,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,569.0
284051.0,0.0,-3.1385,0.004,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,541.0
284061.0,0.0,-3.1401,-0.002,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,544.0
284072.0,0.0,-3.1401,-0.003,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,535.0
284082.0,0.0,-3.1401,0.002,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,544.0
284092.0,0.0,-3.1401,0.0,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,537.0
284142.0,0.0,-3.1401,0.001,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,658.0
284152.0,0.0,-3.1401,-0.004,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,565.0
284162.0,0.0,-3.1401,-0.001,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,571.0
284172.0,0.0,-3.1401,-0.003,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,544.0
284182.0,0.0,-3.1401,-0.003,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,563.0
284193.0,0.0,-3.1385,0.004,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,554.0
284203.0,0.0,-3.1385,0.009,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,568.0
284213.0,0.0,-3.1401,0.005,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,572.0
284223.0,0.0,-3.1401,-0.003,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,543.0
284233.0,0.0,-3.1401,0.0,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,569.0
284244.0,0.0,-3.1401,0.006,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,549.0
284254.0,0.0,-3.1401,-0.002,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,569.0
284264.0,0.0,-3.1401,-0.004,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,571.0
284274.0,0.0,-3.1401,-0.004,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,544.0
284284.0,0.0,-3.1401,0.006,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,568.0
284294.0,0.0,-3.1385,0.008,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,568.0
284305.0,0.0,-3.1385,0.006,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,549.0
284315.0,0.0,-3.1401,-0.004,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,563.0
284325.0,0.0,-3.1401,-0.005,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,537.0
284335.0,0.0,-3.1401,-0.005,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,571.0
284345.0,0.0,-3.1401,0.001,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,563.0
284356.0,0.0,-3.1401,0.01,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,549.0
284366.0,0.0,-3.1401,-0.001,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,568.0
284376.0,0.0,-3.1401,-0.004,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,537.0
284386.0,0.0,-3.1401,0.0,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,541.0
284396.0,0.0,-3.1401,0.005,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,568.0
284407.0,0.0,-3.1401,0.004,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,568.0
284417.0,0.0,-3.1401,-0.005,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,535.0
284427.0,0.0,-3.1385,-0.001,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,562.0
284437.0,0.0,-3.1401,0.003,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,576.0
284448.0,0.0,-3.1401,0.0,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,544.0
284458.0,0.0,-3.1401,-0.005,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,569.0
284468.0,0.0,-3.1401,-0.001,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,571.0
284478.0,0.0,-3.1401,-0.003,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,569.0
284489.0,0.0,-3.1401,-0.001,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,535.0
284499.0,0.0,-3.1401,-0.003,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,569.0
284509.0,0.0,-3.1401,-0.0,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,571.0
284519.0,0.0,-3.1401,-0.002,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,544.0
284530.0,0.0,-3.1401,-0.002,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,544.0
284540.0,0.0,-3.1385,0.012,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,568.0
284550.0,0.0,-3.1385,0.016,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,572.0
284560.0,0.0,-3.1401,0.001,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,549.0
284570.0,0.0,-3.1401,0.0,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,554.0
284581.0,0.0,-3.1401,-0.007,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,544.0
284591.0,0.0,-3.1401,-0.001,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,537.0
284601.0,0.0,-3.1401,-0.005,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,571.0
284611.0,0.0,-3.1385,0.009,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,568.0
284622.0,0.0,-3.1385,0.009,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,549.0
284632.0,0.0,-3.1401,-0.001,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,536.0
284642.0,0.0,-3.1401,-0.007,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,544.0
284653.0,0.0,-3.1401,-0.007,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,535.0
284663.0,0.0,-3.1401,-0.005,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,563.0
284673.0,0.0,-3.1401,-0.004,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,537.0
284683.0,0.0,-3.1401,-0.002,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,571.0
284693.0,0.0,-3.1401,0.001,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,569.0
284703.0,0.0,-3.1401,-0.001,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,570.0
284714.0,0.0,-3.1401,0.006,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,541.0
284724.0,0.0,-3.1401,0.004,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,549.0
284734.0,0.0,-3.1401,-0.0,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,569.0
284744.0,0.0,-3.1401,0.002,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,572.0
284754.0,0.0,-3.1401,0.0,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,549.0
284764.0,0.0,-3.1385,0.001,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,568.0
284775.0,0.0,-3.1401,-0.004,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,569.0
284785.0,0.0,-3.1401,-0.002,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,537.0
284795.0,0.0,-3.1401,-0.004,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,543.0
284805.0,0.0,-3.1401,0.002,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,544.0
284815.0,0.0,-3.1401,0.001,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,569.0
284826.0,0.0,-3.1401,-0.003,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,544.0
284836.0,0.0,-3.1401,0.004,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,568.0
284846.0,0.0,-3.1401,0.002,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,568.0
284856.0,0.0,-3.1401,-0.001,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,537.0
284866.0,0.0,-3.1401,-0.004,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,543.0
284876.0,0.0,-3.1401,0.002,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,563.0
284886.0,0.0,-3.1401,0.004,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,568.0
284897.0,0.0,-3.1401,-0.003,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,544.0
284907.0,0.0,-3.1401,-0.004,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,569.0
284917.0,0.0,-3.1401,-0.001,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,537.0
284927.0,0.0,-3.1401,0.001,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,565.0
284937.0,0.0,-3.1401,-0.001,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,544.0
284948.0,0.0,-3.1401,0.002,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,549.0
284958.0,0.0,-3.1401,0.002,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,568.0
284968.0,0.0,-3.1401,-0.005,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,537.0
284978.0,0.0,-3.1401,-0.003,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,543.0
284988.0,0.0,-3.1401,-0.005,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,555.0
284999.0,0.0,-3.1401,-0.004,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,545.0
285009.0,0.0,-3.1401,-0.002,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,535.0
285019.0,0.0,-3.1401,-0.0,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,569.0
285030.0,0.0,-3.1401,0.001,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,544.0
285040.0,0.0,-3.1401,0.003,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,569.0
285050.0,0.0,-3.1401,0.003,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,569.0
285060.0,0.0,-3.1401,0.004,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,536.0
285070.0,0.0,-3.1385,0.009,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,549.0
285081.0,0.0,-3.1401,-0.002,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,544.0
285091.0,0.0,-3.1401,-0.005,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,563.0
285101.0,0.0,-3.1401,-0.004,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,537.0
285111.0,0.0,-3.1385,0.006,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,549.0
285122.0,0.0,-3.1401,-0.001,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,535.0
285132.0,0.0,-3.1401,0.002,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,569.0
285142.0,0.0,-3.1401,0.007,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,572.0
285152.0,0.0,-3.1401,-0.003,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,544.0
285162.0,0.0,-3.1385,0.005,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,568.0
285173.0,0.0,-3.1401,-0.003,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,544.0
285183.0,0.0,-3.1401,-0.004,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,562.0
285193.0,0.0,-3.1401,0.006,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,573.0
285203.0,0.0,-3.1401,-0.001,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,544.0
285213.0,0.0,-3.1385,0.001,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,562.0
285224.0,0.0,-3.1401,0.002,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,549.0
285234.0,0.0,-3.1401,-0.001,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,563.0
285244.0,0.0,-3.1401,-0.005,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,571.0
285254.0,0.0,-3.1401,-0.005,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,544.0
285264.0,0.0,-3.1401,-0.004,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,569.0
285275.0,0.0,-3.1401,0.003,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,544.0
285285.0,0.0,-3.1401,0.004,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,536.0
285295.0,0.0,-3.1401,0.0,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,543.0
285306.0,0.0,-3.1401,-0.003,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,535.0
285316.0,0.0,-3.1401,-0.001,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,544.0
285326.0,0.0,-3.1401,-0.003,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,537.0
285336.0,0.0,-3.1401,0.002,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,544.0
285347.0,0.0,-3.1401,0.005,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,541.0
285357.0,0.0,-3.1401,-0.002,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,544.0
285367.0,0.0,-3.1401,-0.002,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,569.0
285377.0,0.0,-3.1401,-0.002,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,537.0
285387.0,0.0,-3.1385,0.005,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,549.0
285397.0,0.0,-3.1401,0.0,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,569.0
285408.0,0.0,-3.1401,-0.004,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,544.0
285418.0,0.0,-3.1401,-0.004,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,537.0
285428.0,0.0,-3.1401,-0.003,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,543.0
285438.0,0.0,-3.1401,0.001,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,569.0
285449.0,0.0,-3.1401,0.003,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,544.0
285459.0,0.0,-3.1385,0.009,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,536.0
285469.0,0.0,-3.1401,-0.0,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,544.0
285479.0,0.0,-3.1401,-0.002,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,563.0
285490.0,0.0,-3.1401,0.004,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,562.0
285500.0,0.0,-3.1401,-0.003,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,565.0
285510.0,0.0,-3.1401,-0.004,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,544.0
285520.0,0.0,-3.1385,0.005,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,568.0
285531.0,0.0,-3.1401,0.003,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,549.0
285541.0,0.0,-3.1401,0.002,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,537.0
285551.0,0.0,-3.1401,0.004,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,549.0
285561.0,0.0,-3.1385,0.006,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,568.0
285572.0,0.0,-3.1401,0.006,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,549.0
285582.0,0.0,-3.1401,-0.006,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,537.0
285592.0,0.0,-3.1401,-0.007,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,544.0
285602.0,0.0,-3.1401,-0.006,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,569.0
285613.0,0.0,-3.1401,-0.003,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,544.0
285623.0,0.0,-3.1385,0.005,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,536.0
285633.0,0.0,-3.1401,-0.002,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,565.0
285643.0,0.0,-3.1385,0.003,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,568.0
285654.0,0.0,-3.1401,-0.002,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,544.0
285664.0,0.0,-3.1401,-0.003,-0.09759,0.0,0.0,0.8021,0.0,0.0,105.0,569.0
